filename,labels
1-100032-A-0.wav,dog_bark
1-100038-A-14.wav,bird_chirping
1-100210-A-36.wav,machine_running
1-100210-B-36.wav,machine_running
1-101296-A-19.wav,thunder
1-101296-B-19.wav,thunder
1-101336-A-30.wav,door_knock
1-103995-A-30.wav,door_knock
1-103999-A-30.wav,door_knock
1-104089-A-22.wav,clapping
1-104089-B-22.wav,clapping
1-105224-A-22.wav,clapping
1-110389-A-0.wav,dog_bark
1-110537-A-22.wav,clapping
1-115521-A-19.wav,thunder
1-115545-A-48.wav,explosion
1-115545-B-48.wav,explosion
1-115545-C-48.wav,explosion
1-115546-A-48.wav,explosion
1-115920-A-22.wav,clapping
1-115920-B-22.wav,clapping
1-115921-A-22.wav,clapping
1-116765-A-41.wav,saw_cutting
1-11687-A-47.wav,airplane
1-118206-A-31.wav,mouse_click
1-118559-A-17.wav,water_running
1-119125-A-45.wav,train
1-12653-A-15.wav,water_stream
1-12654-A-15.wav,water_stream
1-12654-B-15.wav,water_stream
1-13613-A-37.wav,alarm_clock
1-137-A-32.wav,keyboard_typing
1-137296-A-16.wav,wind
1-14262-A-37.wav,alarm_clock
1-155858-A-25.wav,footsteps
1-155858-B-25.wav,footsteps
1-155858-C-25.wav,footsteps
1-155858-D-25.wav,footsteps
1-155858-E-25.wav,footsteps
1-155858-F-25.wav,footsteps
1-160563-A-48.wav,explosion
1-160563-B-48.wav,explosion
1-16568-A-3.wav,cow_moo
1-16746-A-15.wav,water_stream
1-17124-A-43.wav,car_horn
1-17150-A-12.wav,fire_crackling
1-172649-A-40.wav,helicopter
1-172649-B-40.wav,helicopter
1-172649-C-40.wav,helicopter
1-172649-D-40.wav,helicopter
1-172649-E-40.wav,helicopter
1-172649-F-40.wav,helicopter
1-17367-A-10.wav,rain
1-17565-A-12.wav,fire_crackling
1-17742-A-12.wav,fire_crackling
1-17808-A-12.wav,fire_crackling
1-17808-B-12.wav,fire_crackling
1-1791-A-26.wav,laughter
1-181071-A-40.wav,helicopter
1-181071-B-40.wav,helicopter
1-18527-A-44.wav,car_engine
1-18527-B-44.wav,car_engine
1-18631-A-23.wav,breathing
1-18655-A-31.wav,mouse_click
1-187207-A-20.wav,crying
1-18810-A-49.wav,saw_cutting
1-19026-A-43.wav,car_horn
1-19111-A-24.wav,cough
1-19118-A-24.wav,cough
1-19840-A-36.wav,machine_running
1-19872-A-36.wav,machine_running
1-19872-B-36.wav,machine_running
1-19898-A-41.wav,saw_cutting
1-19898-B-41.wav,saw_cutting
1-19898-C-41.wav,saw_cutting
1-20133-A-39.wav,glass_breaking
1-202111-A-3.wav,cow_moo
1-20545-A-28.wav,snoring
1-20736-A-18.wav,toilet_flush
1-211527-A-20.wav,crying
1-211527-B-20.wav,crying
1-211527-C-20.wav,crying
1-21189-A-10.wav,rain
1-21896-A-35.wav,machine_running
1-223162-A-25.wav,footsteps
1-22694-A-20.wav,crying
1-22694-B-20.wav,crying
1-22882-A-44.wav,car_engine
1-23094-A-15.wav,water_stream
1-23094-B-15.wav,water_stream
1-23222-A-19.wav,thunder
1-23222-B-19.wav,thunder
1-23706-A-49.wav,saw_cutting
1-23996-A-35.wav,machine_running
1-23996-B-35.wav,machine_running
1-24074-A-43.wav,car_horn
1-24076-A-43.wav,car_horn
1-24524-A-19.wav,thunder
1-24524-B-19.wav,thunder
1-24524-C-19.wav,thunder
1-24796-A-47.wav,airplane
1-254507-A-43.wav,car_horn
1-25777-A-48.wav,explosion
1-25781-A-48.wav,explosion
1-26143-A-21.wav,sneeze
1-26176-A-43.wav,car_horn
1-26177-A-43.wav,car_horn
1-26188-A-30.wav,door_knock
1-26222-A-10.wav,rain
1-26806-A-1.wav,rooster_crow
1-27165-A-35.wav,machine_running
1-27166-A-35.wav,machine_running
1-27403-A-28.wav,snoring
1-27405-A-28.wav,snoring
1-27724-A-1.wav,rooster_crow
1-28005-A-18.wav,toilet_flush
1-28808-A-43.wav,car_horn
1-29532-A-16.wav,wind
1-29561-A-10.wav,rain
1-29680-A-21.wav,sneeze
1-30039-A-26.wav,laughter
1-30043-A-26.wav,laughter
1-30214-A-18.wav,toilet_flush
1-30226-A-0.wav,dog_bark
1-30344-A-0.wav,dog_bark
1-30709-A-23.wav,breathing
1-30709-B-23.wav,breathing
1-30709-C-23.wav,breathing
1-30830-A-24.wav,cough
1-31482-A-42.wav,siren
